BookAbbrev	Chapter:Verse	Annotation	Source
Jb	22:5	After imitation of false crimes, this disputer chargeth holie Iob also with heathenish errour of the Egyptians, that God hath no prouidence of men in this world. Aristotel. li. de mundo, textu. 84.	scan-pdf
Jb	22:14	So some heretikes in their phrensie accuse Catholikes of condemned heresies.	scan-pdf
Jb	23:1	Whiles he expected fome comfort of his freinds, they stil afflicted him more & more, charging him with false crimes & fo aggrauating his grief both of bodie and mind.	scan-pdf
Jb	23:2	Therefore he appeareth to Gods iudgement feare for sentence.	scan-pdf
Jb	24:1	Gods seruants know that he wil punish wickednes, but know not when the wicked presume, that he wil neuer punish them.	scan-pdf
Jb	24:13	Heretikes do long and teaching against their owne knowledge, are afterward strucken with blindnes, that they can not see the truth. S. Greg. li. 16. c. 25	scan-pdf
Jb	24:18	Sinners running into both extremes of defect and excesse, are like wise punished with contrarie tormentes.	scan-pdf
Jb	24:24	Man by these precious & rare creatures, men ought to consider the Creatour, & so not set their rest in them, but in him, which is true wisdome.	scan-pdf
Jb	25:1	Iob answered before, ch. 4. yet blind and obstinate disputers stil repeate the same objections.	scan-pdf
Jb	25:4	Can man be iustified compared with God, or the borne of a woman appeare cleane?	scan-pdf
Jb	26:1	Iob sheweth that neither God needeth mans helpe: Neither is Baldads prudence able to help, if there were neede.	scan-pdf
Jb	26:5	Giants were not able to wade in Noes floud, but were drowned with the rest.	scan-pdf
Jb	26:14	Not only great things before recited, but also the very least are made by God, and depend vpon his prouidcnce.	scan-pdf
Jb	27:2	God would not as yet haue Iobs cause iudged, but referred the sentence, for his greater trial in patience.	scan-pdf
Jb	27:4	It were a lie to acknowledge such sinnes as he had not committed.	scan-pdf
Jb	27:19	Some part of Gods iudgement falleth on the wicked in this life, but especially at their death. Psal. 75.	scan-pdf
Jb	28:1	By these more precious & rare creatures, men ought to consider the Creatour, & so not set their rest in them, but in him, which is true wisdome.	scan-pdf
Jb	28:13	True wisdome is not in naturall things, but in supernaturall vertues.	scan-pdf
Jb	28:28	When man hath considered, and prepared, and searched it, Behold the feare of our Lord, that is wisedom: and to depart from euil, vnderstanding.	scan-pdf
Jb	29:1	Parables are not only similitudes of things, but also pithie and profound sentences, such as Iob, Salomon, and other wiseit men vttered.	scan-pdf
Jb	29:24	This parti- cle as; impor- teeth not here a similitude, but rather that he was a very King or su- preme Prince, as hauing su- preme autho- ritie.	scan-pdf
