BookAbbrev	Chapter:Verse	Annotation	Source
Is	10:1	Whereas good laws are the stability of the commonwealth, wicked are the ruin thereof. Such as Jeroboam made forbidding to go to Jerusalem, and setting up golden calves in Dan, causing the people to serve them as the Gods of Israel. Such also as the Scribes and Pharisees made, wicked traditions, contraries to Gods commandments. Mat. 5.	scan-pdf
Is	10:5	The Jews are called a deceitful nation, because they broke their promise made to God, that they would serve him and keep his commandments. Exo. 5. Sennacherib not by his own power, but as Gods instrument afflicted the Israelites.	scan-pdf
Is	11:1	The Blessed Virgin. Christ our Saviour replenished with the seven guifts of the Holie Ghost, of whose infinite plenitude his servants participate as it pleaseth his divine spirit to impart.	scan-pdf
Is	11:10	Christ after his death, which to the world was ignominious, would be gloriously buried by very honourable persons, Joseph and Nicodemus, with abundance of most precious spices. Christs sepulchre still also remaineth glorious, honoured even by the Turkes: much more by Catholike Christians.	scan-pdf
Is	12:1	The Jews gave thanks for their delivery from captivity of Babylon; & much more the Church of Christ rendereth thanks for her deliverance from all sinnes.	scan-pdf
Is	13:1	Nemrod began the kingdom of Babylon (Gen. 10.) his sonne Belus did much augment it: & his sonne Nimus brought it to be a very great Empire & Monarchie. But at last, after 1240. years, it was overcome by Cyrus King of Persia.	scan-pdf
Is	13:3	Medes and Persians were called sanctified, in that they were the ministers of Gods justice in the ruine of Babylon.	scan-pdf
Is	13:12	After the slaughter there shal be so few Babylonians, or Chaldeans left alive, that one man shal be more precious then much fine gold.	scan-pdf
Is	13:20	An other citie was built of the fame name, but much lesse, and in an other place of Chaldea.	scan-pdf
Is	13:22	Isaie prophesied the destruction of Babylon above 100. yeares before the Iewes were caried thither captive, and their captivity indured 70. yeares. Which was released by Cyrus, after he had overcome the Babylonians. Yet this space of nere 200. yeares, is counted a short time in respect of so great a Monarchie as this was, which had continued above a thousand yeares, from the time of Ninus.	scan-pdf
Is	14:12	As Lucifer the greatest diuel, so Nabuchodonosor King of Babylon fel through pride into extreme miserie.	scan-pdf
Is	14:20	The miraculous destruction of the Assirians armie beseiging Ierusalem is recorded 4. Reg. 19.	scan-pdf
Is	14:28	The second commination is against the Philistians. Though Achaz was dead whom the Philistims feared, yet Ezechias a better King did afflict them more then the other had done.	scan-pdf
Is	15:1	The third commination was against the Moabites. Destruction made in the night, prevailed that they feared not the imminent danger, but to much the more they were afflicted, being sodainly oppressed with extreme miserie.	scan-pdf
Is	15:5	Miserie, even of enemies, moueth the charitable hart to compassion: so the Prophet lamenteth the Moabites affliction.	scan-pdf
Is	16:1	In the great miserie of the Moabites, the Prophet saw one special cause of consolation, that Christ the lambe of God, should be borne of their lineage. Of Ruth a Moabite, who was maried to Booz, and so was Dauids great grandmother. Ruth 4.	scan-pdf
Is	16:14	In three yeares, as the yeares of an hired servant, the glorie of Moab shal be taken away.	scan-pdf
Is	17:12	After that the Assirians had afflicted the Israelites, and their confederates, them selves were also afflicted.	scan-pdf
Is	18:1	The fift was against the Aethiopians and Aegyptians. The Aegyptians bid their messengers goe swiftly & tel the Iewes that they shal have present helpe according as they require. But the Prophet sheweth that the Aegyptians themselves would be ouerthrowne by the Assirians.	scan-pdf
1Mc	2:12	This final helpe of great importance, is that aide wherof Daniel prophesied ch.11. v.34.	scan-pdf
1Mc	2:24	Mathathias not of priuate spirite, but being general capitaine of the people, did this iustice according to the law, where it is commanded to kil the authours of false pretended religion. Deut.13. S. Cyprian Exhort. ad Martyr.	scan-pdf
1Mc	2:36	These are commended by S. Ambrose li 1. Offi. c. 40 and other Fathers, dying in the simplicitie of serpents. Yet ordinarie meanes of lawful warres are also vsed, by which God conserveth his Church from vtter ruine.	scan-pdf
1Mc	2:42	Assideans, otherwise called Esseni, not hypocritically as the Pharisees, nor erroneously as the Sadducees, but sincerely professed a peculiar holie rule of life.	scan-pdf
1Mc	2:65	In al affayres order is of singular importance, that euerie office be designed to fittest persons. Mathathias appointed Simon the chiefe for determining matters in counsel, & Iudas the first for execution.	scan-pdf
1Mc	3:2	He did not arrogate to himselfe to be chief, but being designed by his father, was so accepted by his brethren, and the good people ioyned with them in defence of the law of God.	scan-pdf
1Mc	3:2	Iudas had foure battels, and victories, against foure general captaines sent by King Antiochus Epiphanes. The first against this Apollonius.	scan-pdf
1Mc	3:13	The second against Seron.	scan-pdf
1Mc	3:18	The natural frailtie of man feareth to encounter with a strong enemie, but true confidence in Gods help, which is euer assured in a good cause, giueth courage and getteth the victorie.	scan-pdf
1Mc	3:29	Not only the Iewes resisted Antiochus innouations in religion, but also diuers other nations reuolted and rebelled, because he commanded al to leaue their former rites.	scan-pdf
1Mc	3:46	Praying, fasting & other workes of penance are the best armour in holie warres for religion.	scan-pdf
1Mc	3:46	Publike place of prayer was first in Silo, Iosue 18. after in Maspha, 1. Reg. 7. lastly in Ierusalem.	scan-pdf
1Mc	4:8	Confidence in God proveth his assistance.	scan-pdf
1Mc	4:43	Altars, temples, & statues of false Gods made of stone, and set vp in the temple were now destroyed.	scan-pdf
1Mc	4:52	The temple was purged two yeares & somewhat more after the prophanation. Our Sauiour Iesus, observed this feast being instituted long after the Law of Moyses. Ioan. 10.	scan-pdf
1Mc	5:1	In this chapter is mention of ten battles in which Iudas or his brethren Ionathas and Simon were victors.	scan-pdf
1Mc	5:3	The first against the Idumeans in Acrabathane.	scan-pdf
1Mc	5:48	A good and pious captaine cherisheth and comforteth the weake souldiers: and encouraged al to shew their fortitude.	scan-pdf
1Mc	5:54	Men that presume of their owne strength without commission from lawful auctoritie haue not Gods assistance.	scan-pdf
Is	19:1	When our Saviour was carried in his infancie by his mother into Aegypt, the idols of that countrie lost their power. And the inhabitants were specially blessed, and afterwards very many believed in Christ, and sincerely served him.	scan-pdf
Is	19:19	Both Iewes and Christians understand this prophecie of the conversion of the Aegyptians to Christ. For there were sometimes many Christians in that countrie, yea manie most excellent Saints, S. Paul, S. Antonie, S. Hilarion, & innumerable others.	scan-pdf
Is	20:2	The holie Prophet, of noble bloud, was not disobedient, nor ashamed to goe naked, because nothing is more honest then to obey Gods commandment. S. Ierem. in hunc locum.	scan-pdf
Is	20:6	God to shew the vanitie of al hope, that is reposed in men or in worldlie things, layeth the meruelous and miserable mutations of temporal great Kingdoms before the eyes of his people. That we may see, and admire his merciful providence, and our owne follie, when we trust in the helpe of our selves, or of other men, who can not defend themselves from ruine and ignominie. Our only refuge must be to God, in whom is al true hope, helpe, safetie, and happines, temporal and eternal.	scan-pdf
Is	21:1	The first commination was against the Assyrians, and specially the Babylonians.	scan-pdf
Is	21:7	Cyrus King of the Persians, a people of smal power, & of the Medes, of great strength.	scan-pdf
Is	21:11	The seuenth prophetical commination was against the Idumeans.	scan-pdf
Is	22:1	The ninth against the cheefe rulers of Ierusalem. Sion situated on a hil, and often called a mountaine, is here called a vale, for the afflicted state wherin it was in the captiuitie.	scan-pdf
Is	22:15	This Sobna had some office about the Temple, but by craftie intrusion and vniust vsurpation rather then by lawful induction, was very couetous & ambitious: so it is Gods iudgement fell into miserie.	scan-pdf
Is	23:1	Tyrus was an iland, as Ezechiel also describeth it.	scan-pdf
Is	23:15	The Tyrians reioied in the Iewes captiuitie, & therefore God punished them with like captiuitie of 70. yeares.	scan-pdf
Is	24:1	Diuersitie of states which is now in the world, shal cease at the general iudgement, and al men shal receiue according to their desertes.	scan-pdf
1Mc	6:1	But before he arrived there he had news of his armie in Iurie, & fell into intolerable and desperate diseases.	scan-pdf
1Mc	6:8	Al this was but feyned repentance.	scan-pdf
1Mc	6:16	Antiochus began to persecute the Iewes in the yeare 143, and dying this yeare 149, it appeareth that his persecution dured about six yeares, or somewhat more: agreeable to the answer of the Angel Dan. 8. v. 14. that it should indure 2300 dayes, which make six yeares, & almost foure months.	scan-pdf
1Mc	6:34	Bloud of the grape (wine) and iuyce of mulberries doe incite elephants to fight. As some kinde of bloud or smell thereof doth incite hounds to hunt.	scan-pdf
