BookAbbrev	Chapter:Verse	Annotation	Source
1Sam	8:18	God wil punish the sinnes of the people, by suffering euil Princes to reigne. Iob. 34. v. 30.	scan-pdf
1Sam	9:9	One that by diuine inspiration foreseeth things to come.	scan-pdf
1Sam	9:16	Oppression of innocents crieth to heauen.	scan-pdf
1Sam	10:6	S. Gregorie here noteth, that such as are placed in height of gouernment are annointed with oyle, which signifieth mercie, light, and curing of others. But the little vessel foreshewed that Saul not perseuering in grace, should be deposed from his Kingdome. li. 4. c. 5. in 1. Reg. 10.	scan-pdf
1Sam	10:7	Samuel enioyneth obedience to Saul to trie his humilitie. S. Greg. li. 4. c. 5. in 1. Reg. 10.	scan-pdf
1Sam	10:9	God gaue him peculiar grace for executing the office of a King.	scan-pdf
1Sam	10:10	By and by also the guift of prophecie.	scan-pdf
1Sam	10:12	Their superiour.	scan-pdf
1Sam	10:20	By lot the people were assured that the election was of God. S. Greg. ibidem.	scan-pdf
1Sam	11:7	As the men of Iabes deluded their enemies by equiuocation, so speaking that they were otherwise vnderstood then they ment: so the seruants of God being tempted with concupiscence of gloutonie (signified by Naas) must deceiue their carnal appetite, by promising to satisfie the desire of the flesh, but in deed keep such temperance, as they may kil the concupiscence, and not be killed by it. S. Greg. li. 5. c. 1. in 1. Reg. 11.	scan-pdf
1Sam	13:13	He offended in offering sacrifice, being neither a Priest, nor extraordinarily allowed to doe that office, and for this and other faults was deposed.	scan-pdf
1Sam	13:14	Gods foresight of sinne, and preordination to punish it, taketh not away free wil, nor possibilitie of welldoing. S. Aug. li. 3. c. 4. de lib. arbir.	scan-pdf
1Sam	14:10	Ominous speaches are proued by this and some other examples to be sometimes of God, though sometimes this kind of obseruation is superstitious. As before is noted, Gen. 24.	scan-pdf
1Sam	14:19	Pray no more nor expect no longer; so they proceeded to battel without further warrant.	scan-pdf
1Sam	15:3	Amalec is strucken when the flesh is chastised by abstinence. S. Greg. li. 6. c. 1. in 1. Reg. 15.	scan-pdf
1Sam	15:5	Destroyed when the minde is restrained from vncleane cogitations. S. Greg. li. 6. c. 1. in 1. Reg. 15.	scan-pdf
1Sam	15:35	God is said improperly to repent, when he altereth the thing that he did before. S. Amb. li. de Noe c. 4.	scan-pdf
1Sam	17:25	Christ ouercomming the diuel receiued the Church to his spouse. S. Greg.	scan-pdf
1Sam	17:55	Saul knew not Dauid, being perhaps in a shepheards habite: though he had not long before serued and pleased him wel. ch. 16. v. 21.	scan-pdf
1Sam	18:1	This happened not immediately after the victorie against Goliath, but when Dauid had dwelt some time in Sauls house, and was very grateful to him, and to al the court and people.	scan-pdf
