BookAbbrev	Chapter:Verse	Annotation	Source
Am	9:6	God, who defendeth his Church as a strong bundel fast bond together, wil punish the wicked with iust afflictions.	scan-pdf
Am	9:8	Notwithstanding the great ruine of the Iewes, slaine and led captiues, yet God in them conserued the Church that it was not destroyed.	scan-pdf
Am	9:11	S. Iames conformably to S. Peters doctrine, interpreteth this place of the conuersion of Gentils to Christ. Act. 15. v. 15.	scan-pdf
Ob	1:1	God directed the cogitations of diuers other Gentiles, to ioyne their forces against the Idumeans.	scan-pdf
Ob	1:12	God admonisheth them what they ought not to doe, but withal foresheweth that they wil despise the Iewes their brethren: & wil reioyce in their miseries.	scan-pdf
Ob	1:17	Historically al this prosperitie was promised to the Iewes after their deliuerie from Babylon, and so much thereof performed as their new sinnes hindred not. the rest is fulfilled in Christians. S. Ierom. ep. ad Dardian.	scan-pdf
Ob	1:19	The rest of this prophecie is only of Christ possessing al nations. To whom al the Prophets giue testimonie that al receiue remission of sinnes by his name belieuing in him. Act. 10. v. 43. See S. Aug. li. 10. c. 31. de ciuit.	scan-pdf
Jon	1:2	God Creatour & Lord of al the world, hath also care of al, Rom. 3. v. 29. & therfore sent this Prophet to the great citie Niniue.	scan-pdf
Jon	1:3	Ionas sheweth the cause why he fled, ch. 4. v. 1. fearing to be counted a false Prophet.	scan-pdf
Jon	1:7	The mariners seeing no natural cause of so sudaine & great a tempest, ought to know the reason therof by lot. the Prophet agreed, by Gods inspiration, & so was discouered.	scan-pdf
Jon	1:16	Sacrifice & vowes are knowne to al men by the light of nature to be grateful to God.	scan-pdf
Jon	2:1	That this great fish was a whale, our Sauiour plainly expresseth. Mat. 11. v. 40.	scan-pdf
Jon	2:2	The Prophet doubtles prayed before & when they cast him out of the ship, and continued the same prayer being in the whales bellie, with more confidence, that he should be safely cast on the drie land.	scan-pdf
Jon	2:7	Furthest that can be from mountaines, euen into the depth of the sea, which is lower then any other valleyes.	scan-pdf
Jon	2:11	Gods wil is his word by which al creatures were made, and to which, as wel liuing, as sensifes things obey.	scan-pdf
Jon	3:2	Diodorus Siculus li. 2.c.1. writeth that Niniue was in length 150 stadia, or forlongs, in breadth 90. so it was in circuite of the wals 480. And euerie forlong hauing 125 paces of fiue foot the compasse was 60. Italian myles, about 50. or 48. English myles: a sufficient trauel of three dayes, to passe through the principal streetes.	scan-pdf
Jon	3:4	As wel this, as many other like prophecies, shew that Gods threats are conditional, it sinners wil repent: for then God changeth his sentence. S.Chrys. S.Iero. S.Greg. The same is also cleere Iere.18.v.8.	scan-pdf
Jon	3:7	Great remorse and detestation of sinne maketh penitents to exceede in austere works, which being wel meant is accepted at Gods hands, so it be not indiscreet.	scan-pdf
Jon	4:1	Ionas conceiued by their penance that God would for this time spare Niniue, & so was afflicted, fearing that both this, & other prophecies should be reputed vncertaine. But this doubt is solued vnderstanding Gods threats to be conditional. For they falling againe into former sinnes were afterwards destroyed. Nahum.1.2.& 3.	scan-pdf
Mic	1:2	If the Prophet should not admonish the people, both he and they should dye in their sinne. Iere.3.v.18. but he discharging his office they not repenting shal perish in their iniquitie.	scan-pdf
Mic	1:6	Samaria gathering riches by traffike with idolaters communicated also with them in idolatrie, and therfore their riches shal be caried into Ninive and other places of Assyria.	scan-pdf
Mic	1:10	Tel not these calamities which I foreshew amongst your enemies, lest they reioyce therat. But lament in your owne houses which shal be ruined. S. Ierome here testifieth the hardnes of this place praying for the assistance of the Holy Ghost to vnderstand it.	scan-pdf
Mic	1:15	Ironiously he sayth the glorie, that is, the miserie of Israel shal be extended to Odolla the vttermost citie in Iuda.	scan-pdf
Mic	2:1	By the figure Lipiate, that is here called vnprofitable, which is indeed extreme hurtful, & hath nothing profitable in it.	scan-pdf
Mic	2:6	The Princes of the people command the Prophets not to speake & inculcate so much of future afflictions.	scan-pdf
Mic	2:7	God answereth, that his threates proceed from his mercie. For he would saue al, and those that either walke rightly or repent shal feele the effect of his mercie, but except they be admonished, neither the good wil perseuere in goodnes, nor the euil returne into the right way.	scan-pdf
Mic	2:12	In further proofe of Gods mercie he promiseth to gather his Church of al nations by Christ.	scan-pdf
Mic	3:1	The chief of both the Kingdoms were great extorcioners, & the poore murmuring against the rich also extorted ech from other: imitating the greater sort in euil.	scan-pdf
Mic	3:5	False Prophets sought also their priuate gaine.	scan-pdf
Mic	3:7	Likewise the Iudges peruerted iudgement, scraping their temporal profite of other mens quarels.	scan-pdf
Mic	3:12	The Iewes confesse this Prophecie to be of Christ the promised Messias: but denie it to be of our Sauiour Iesus of Nazareth. The later dayes are this whole time from Christ to the end of the world, which is the last time, after which shal be no other state of time, but eternitie.	scan-pdf
Mic	4:11	Al such quiet patient people as walke in the name of God, wil keep this peace yea euen with them that hate peace, suffering persecution with alacritie of mind.	scan-pdf
Mic	4:14	The Iewes shal be at last conuerted to Christ.	scan-pdf
Mic	5:1	Jerusalem is called daughter of the spoiler, that is, addicted to spoyling & oppressing the poore: & therfore shal be spoyled; yet shal be restored & conserued, til Bethlehe bring forth the Dominatour, Christ our Lord.	scan-pdf
Mic	5:2	Bethlehem a smal citie, of least account amongst many, yet by Christ borne there, it became not a litle one, but more excellent then many others. Mat. 2. v. 6.	scan-pdf
Mic	6:3	Wheras God shewed most singular great benefits, the vngrateful malignant people requited him with most wicked & reprochful crueltie. As is excellently set forth in the Churches seruice on good friday.	scan-pdf
Mic	6:4	Both Moyses & Aaron were figures of our Sauiour, and their sister Marie a figure of B. Marie the Mother of Christ.	scan-pdf
Mic	6:8	Workes of iustice & mercie doe farre excel external sacrifice of the old law.	scan-pdf
Mic	6:16	Thou Ierusalem art so wicked & foolish, as to imitate the most wicked Kings & people of the ten tribes Amri & Achab. 3. Reg. 16.	scan-pdf
Mic	7:2	Such general speach doth not importe absolutely al without exception, but that very many or the farre greater part of the wicked remained so stil, notwithstanding the Prophets diligence in preaching.	scan-pdf
Mic	7:5	Belieue not a freind, and trust not in Prince: euen domestical may not be trusted, because euerie one in such case hath care of himselfe though it be with preiudice of others.	scan-pdf
Mic	7:8	Babylo shal be taken and spoyled by the Medes & Persians, by them the Iewes shal be deliuered: whereat the Chaldees wil much repine.	scan-pdf
Mic	7:14	Pastours office is to feede and rule with meate, and rod, with doctrine and discipline.	scan-pdf
Mic	7:20	God gaue truth to Iacob, performing that which was promised of his mercie to Abraham. Gen.22. v.17.	scan-pdf
Nah	1:1	Nahum prophecied about 50. yeares after Ionas, neer 136. before the destruction of Niniue. Burden signifieth comminatorie & pensiue prophecie of ruine & punishment. Allegorically Nahum according to his name, comforteth the iust, shewing that God wil reuenge them by destroying Niniue.	scan-pdf
Nah	1:8	The Assirians accounting themselues assured to take & spoile Ierusalem, & therupon banketting and drinking were defeated al in one night.	scan-pdf
Nah	1:11	To Senacherib succeeded his sonne Asarhaddon, but presently after the whole lineage was destroyed. 4.Reg. 19.	scan-pdf
Nah	2:1	Nabuchodonosor inuading the territorie of Niniue wasted al things, & then assaulted and tooke the citie.	scan-pdf
Nah	2:2	The Assirians became more proud & insolent after they had spoiled the two tribes and caried the ten into captiuitie, & therfore God wil now reuenge this pride.	scan-pdf
Nah	2:8	The people of Niniue, when the wal of the citie shal once be broken by the enemies, wil flye away as water runneth out of a pond or fishpoole, when the banke is broke.	scan-pdf
Nah	2:11	The King of Assirians like a furious lion gathered praye out of al cuntries, & brought it into Niniue as into his denne, but at last shal be spoyled of al.	scan-pdf
Nah	3:1	Nemrod began with sheding bloud to make himselfe great. Gen 10. so Ninus who built Niniue, & their successours were stil very bloudie, & otherwise wicked, but at last after 1200. yeares, vnder Sardanapalus their Monarchie decayed much.	scan-pdf
Nah	3:8	This citie was first called No, but being destroyed by the Chaldees, and reedified by K. Alexander, was then called by his name. S. Iero.	scan-pdf
Hab	1:1	This Prophet expresseth not against what Kingdome citie or person this burden is: the reason wherof seemeth to be, because it is against very many and diuers, yea against al persecuters of Gods seruants.	scan-pdf
Hab	1:5	S. Paul alleadgeth this place in the mystical sense Act. 13. in the literal the coherence is very obscure.	scan-pdf
Hab	1:6	The Chaldees were not yet come to their greatnes, and therfore this could not be the same Habacuc mentioned Daniel. 14. v. 32.	scan-pdf
Hab	1:8	After that the Chaldees shal haue subdued the Assyrians, they shal also be ouerthrowne by others, to wit, by the Medes and Persians.	scan-pdf
Hab	1:12	The Chaldees and other victorious nations conquering other countries attribute al to their owne industrie, & forces, honouring themselues, & not God.	scan-pdf
Hab	2:1	The words of the Prophet expecting what God wil further reueale vnto him.	scan-pdf
Hab	2:3	He that commeth at the time apointed, though it be long, is not slacke.	scan-pdf
Hab	2:4	The principal comforte of the iust consisteth in their faith & confidence of the world to come. Wherby they liue with consolation, wheras otherwise this miserable life were rather a death. Heb.10. v.38.	scan-pdf
Hab	2:8	For much bloudshed by the Chaldees, for auarice, iniustice & other wickednes they shal at last be ruined.	scan-pdf
Hab	2:10	Whiles thou thoughtest by rapine & auarice to eternize thy familie and Kingdom thou hast merited the ruine therof.	scan-pdf
Hab	3:1	For the great excellent, & admirable mercie of God, I was astonished as one afrayd, seeing God himselfe wil take mans nature, & therin pay ransom, and redeeme mankind.	scan-pdf
Hab	3:2	in the time disigned for this purpose. The 70. Interpreters reade, between two liuing creatures thou shal be found, & so the Church hath in the office of Christs Natiuitie & Circumcision: between an oxe and an asse in the stal.	scan-pdf
Hab	3:3	From Bethleem which is southward from Ierusalem.	scan-pdf
Hab	3:7	In Madian, a part of Æthiopia, the people liued most in tentes, not in houses: so here is signified that in the tumulte of warres wil be much remouing of skinnes, that is, of their tentes made of skins.	scan-pdf
Hab	3:13	Antichrist the head of the malignant house, or conuenticle, shal be destroyed by Christ. Isa. 11.v.4.2.Thes.2.	scan-pdf
Hab	3:16	Al afflictions are to be patiently sustayned, that we may haue rest in the day of iudgement.	scan-pdf
Zeph	1:1	In saying the word of our Lord, the Prophets signifie that they are not the principal authours of that which they preach or writ, but the ministers by whom God speaketh.	scan-pdf
Zeph	1:2	Gathering more comonly signifieth a benefite, but by that which foloweth, from the face of the earth, it is manifest, that God here threatneth to destroy sinners, the Kingdom of Iuda.	scan-pdf
Zeph	1:5	Whosoeuer ioyneth false Gods with God Almightie, indeed serueth not God.	scan-pdf
Zeph	1:7	The day of punishment is commonly called the day of our Lord. Isa.2. Ioel 1. 1.Cor.5.2. Thess.1.	scan-pdf
Zeph	1:8	Ioachaz was depriued of his Kingdom and died in Ægypt. 4. Reg.23. Ioakim was continually vexed by the Babylonians & other nations, at last slaine, & his bodie cast out of the citie. Iere. 22. Sedecias taken, his eyes put out, so caried into Babylon, & al his sonnes slaine.	scan-pdf
Zeph	1:14	Al these afflictions are neere.	scan-pdf
Zeph	1:15	Repeating & inculcating the same termes, doth elegantly describe the greatnes of the future calamities.	scan-pdf
Zeph	2:1	Ye that deserue not Gods loue, but rather to be reiected, yet by repentance returne to him and he wil receiue you.	scan-pdf
Zeph	2:4	It is very frequent in the Prophets to speake of things to come as if they were done already, for the certaintie therof. These prophecies of the destructions of other nations by the Chaldees, doe confirm that which is threatened to the Iewes, for al sinning, al must be punished.	scan-pdf
Zeph	2:13	Niniue exceeding glorious for antiquitie, greatnes, riches, warlike prowesse, & most large dominio, was at last destroyed.	scan-pdf
Zeph	3:1	Ierusalem without proper merits preferred by Gods special grace before al other place, sanctified, adorned, protected most singularly, yet stil prouoked him to wrath, contemning his admonitions, & persisting & multiplying sinnes, can not but at last be seuerely punished.	scan-pdf
Zeph	3:8	About 40. yeares after Christs resurrection, the most part of the Iewes persisting obstinate were brought to meruelous distresse & miseries, when Titus tooke & destroyed Ierusalem: which is also a figure of the destruction of this world, and of eternal punishment of the wicked.	scan-pdf
Zeph	3:9	Al nations shal inuocate one God in a chosen lip or tongue, in vnitie of fayth, & with one shoulder of fortitude, beare the yoke & burden of Christian life, made sweete and light by Christs grace.	scan-pdf
Zeph	3:17	Men of light conuersation, & contemners of Christ, shal also be conuerted, become graue, & greatly honour him.	scan-pdf
Hag	1:1	Zorobabel descending directly from the Kings of Iuda was now duke, & chiefe temporal Gouerner of the Iewes, by permission of Darius King of Persians. In like sort Iesus succeeded in the office of high Priest to Iosedec, who was caried with others captiue into Babylon. 1. Par. 6. v. 15.	scan-pdf
Hag	1:2	It behoueth without delay to set forward restauration of Gods seruice, reduction of soules from sinne, & amending of il manners: because by foreflowing therof Gods honour is hindred, and manie soules doe eternally perish.	scan-pdf
Hag	1:13	To incite the people to iust estimation of his preaching, the Prophet auoucheth that he is a messenger, not comming of himselfe but sent by God.	scan-pdf
Hag	2:1	They began the new work the 24. day of the sixt month: and the 21. of the 7. month the Prophet had another reuelation.	scan-pdf
Hag	2:8	Iacob the Patriarch, Gen. 49. prophecied that Christ should be the expectation of the Gentils. Who is called the desired of al Nations, because he was hertofore wanting, & alwayes necessarie to al nations.	scan-pdf
Hag	2:10	The temple reedified after the captiuitie was not so glorious as that which Salomon built. But Christs Church of the new Testament, in which he dwelleth spiritually, farre excelleth the material temple.	scan-pdf
Hag	2:14	That which touched a holy thing was sanctified. Leui. 6. v. 18. but the thing so touched did not sanctifie other things: so the people by touching the sacrifices were legally sanctified, but not really: & therfore their sacrifices were not grateful to God, so long as they did not endeuour to build the temple.	scan-pdf
Hag	2:23	Al other Kingdomes perishing the Kingdom of Christ, which is his Church, is neuer destroyed.	scan-pdf
Zech	1:3	When God in the holy Scriptures faith: Conuert to me, and I wil conuert to you, we are admonished that we haue free wil. And when we answer: Conuert vs ô Lord to thee, and we shal be conuerted, we confesse that Gods grace preuenteth vs. Conc. Trid. sess. 6. c. 5.	scan-pdf
Zech	1:8	That this was an Angel in the shape of a man is manifest. v. 11.	scan-pdf
Zech	1:7	Seuentie yeares from the transmigration of Ioachin were complete in the first of Cyrus. Dan. 9. Seuentie yeares were also complete from the destruction of the temple in the second of Darius Histaspis.	scan-pdf
Zech	1:18	From foure parts of the world, to wit the Moabites & Ammonites on the east of Iurie; the Idumeans and Egyptians on the south; the Philisthiims on the west: & the Assirians and Chaldees on the Northside, had much molested the Iewes; al which were therfore plagued & punished.	scan-pdf
Zech	2:2	According to S. Augustins rule in Psal 71. when greater things are said then can be verified as the letter foundeth, the same is literally to be vnderstood of some thing prefigured. And so this prophecie pertayneth to the Church of Christ, rather then to the citie of Ierusalem.	scan-pdf
Zech	2:6	O ye Gentils that remaine in confused Babylon of this world, fly from it into the Church.	scan-pdf
Zech	2:7	And ye Iewes that haue felowship with Babylon, leaue it, & serue God sincerely.	scan-pdf
Zech	3:1	Literally this vision perteyned to the high Priest of that time.	scan-pdf
Zech	3:3	Whose fault is here taxed, for that he admonished not the people to build the temple; and to abstaine fro marying women of strange nations, as 1.Esd. 8. 9. 10.	scan-pdf
Zech	3:7	Angels are promised to assist the Prelates of the Church.	scan-pdf
Zech	3:8	Christ according to his manhood is the seruant of God. Of whom S. Luke expoundeth this prophecie.	scan-pdf
Zech	4:2	The candlesticke Metaphorically signifieth Christs Church. The lampe of light Christ. Seuen lights al the Pastours.	scan-pdf
Zech	4:3	Two oliues Enoch & Elias. Apoc. 11.	scan-pdf
Zech	4:6	Which vision was to be declared to Zorobabel, for his consolation that he might know, that God would protect his Church.	scan-pdf
Zech	4:12	Two branches, the diuine & humane natures of Christ.	scan-pdf
Zech	5:1	In this Book or rol of papers were written the sinnes of the people, and designed punishment.	scan-pdf
Zech	5:2	It appeared flying, to signifie that this decree of punishment came from heauen. S.Chry. ho. 27. ad popul.	scan-pdf
Zech	5:8	Execration & obduration fel vpon the Iewes, for their auarice & periurie.	scan-pdf
